key,value,date
Financial impact migrants,0.221,11/30/15 0:00
Financial impact migrants,0.226,11/4/15 0:00
Financial impact migrants,0.22,10//15 0:00
Financial impact migrants,0.266,7/8/15 0:00
Financial impact migrants,0.266,5/30/15 0:00
Financial impact migrants,0.245,4/10/15 0:00
Financial impact migrants,0.241,3//15 0:00
Financial impact migrants,0.4,10/28/14 0:00
Financial impact migrants,0.269,6/6/15 0:00
Financial impact migrants,0.211,10/9/13 0:00
Brexit,0.149,3/10/16 0:00
Brexit,0.149,2/24/16 0:00
Brexit,0.146,2/23/16 0:00
Brexit,0.165,1//16 0:00
Brexit,0.215,9/25/15 0:00
Brexit,0.181,7/25/15 0:00
Brexit,0.145,11/12/14 0:00
Brexit,0.172,4/6/15 0:00
Brexit,0.147,2/15/16 0:00
Brexit,0.143,1/31/16 0:00
Global economy,0.183,11/25/15 0:00
Global economy,0.169,5/24/15 0:00
Global economy,0.162,10//14 0:00
Global economy,0.164,11/22/13 0:00
Global economy,0.162,6/4/15 0:00
Global economy,0.192,9/2/14 0:00
Global economy,0.166,10/31/14 0:00
Global economy,0.158,8/5/15 0:00
Global economy,0.162,9/12/14 0:00
Global economy,0.158,9/12/14 0:00
US migrant influx,0.185,10/14/15 0:00
US migrant influx,0.175,10/1/15 0:00
US migrant influx,0.169,9/18/15 0:00
US migrant influx,0.174,9/18/15 0:00
US migrant influx,0.193,5/26/15 0:00
US migrant influx,0.192,4/26/15 0:00
US migrant influx,0.17,4/11/15 0:00
US migrant influx,0.169,3/26/15 0:00
US migrant influx,0.189,3/21/15 0:00
US migrant influx,0.196,3/9/15 0:00
EU migrant crisis,0.152,2/28/16 0:00
EU migrant crisis,0.17,2//16 0:00
EU migrant crisis,0.168,2/19/16 0:00
EU migrant crisis,0.159,2/17/16 0:00
EU migrant crisis,0.157,3/18/15 0:00
EU migrant crisis,0.169,7/13/14 0:00
EU migrant crisis,0.152,9/25/15 0:00
EU migrant crisis,0.171,1/13/15 0:00
EU migrant crisis,0.154,2/9/16 0:00
EU migrant crisis,0.166,8/28/15 0:00
EU migrant crisis,0.166,2/24/16 0:00
EU migrant crisis,0.159,4/24/13 0:00
EU migrant crisis,0.155,1/7/13 0:00
EU migrant crisis,0.178,5/9/14 0:00
EU migrant crisis,0.16,10/2/13 0:00
EU migrant crisis,0.296,10/17/15 0:00
EU migrant crisis,0.159,6/13/15 0:00
EU migrant crisis,0.161,6/2/15 0:00
EU migrant crisis,0.158,12/2/15 0:00
EU migrant crisis,0.175,10/4/13 0:00
Paris & Brussel attacks,0.197,1/21/16 0:00
Paris & Brussel attacks,0.222,1/4/16 0:00
Paris & Brussel attacks,0.187,11/2/13 0:00
Paris & Brussel attacks,0.2,11/2/15 0:00
Paris & Brussel attacks,0.5,6/11/15 0:00
Paris & Brussel attacks,0.188,6/11/15 0:00
Paris & Brussel attacks,0.244,6/8/15 0:00
Paris & Brussel attacks,0.17,6/1/15 0:00
Paris & Brussel attacks,0.239,12/17/13 0:00
Paris & Brussel attacks,0.175,10/3/15 0:00
US economy and migrants influx impact,0.387,8/8/15 0:00
US economy and migrants influx impact,0.241,4/29/13 0:00
US economy and migrants influx impact,0.187,6/10/15 0:00
US economy and migrants influx impact,0.193,6/10/15 0:00
US economy and migrants influx impact,0.195,6/4/15 0:00
US economy and migrants influx impact,0.272,6/3/15 0:00
US economy and migrants influx impact,0.183,6/2/15 0:00
US economy and migrants influx impact,0.18,6/2/15 0:00
US economy and migrants influx impact,0.294,1/11/16 0:00
US economy and migrants influx impact,0.173,1/12/16 0:00
Crimes by migrants (sexual assaults in cologne),0.15,2/9/16 0:00
Crimes by migrants (sexual assaults in cologne),0.175,1//16 0:00
Crimes by migrants (sexual assaults in cologne),0.166,1/13/16 0:00
Crimes by migrants (sexual assaults in cologne),0.152,1/13/16 0:00
Crimes by migrants (sexual assaults in cologne),0.185,1/7/16 0:00
Crimes by migrants (sexual assaults in cologne),0.158,10/28/15 0:00
Crimes by migrants (sexual assaults in cologne),0.15,1/30/16 0:00
Crimes by migrants (sexual assaults in cologne),0.149,10/1/15 0:00
Crimes by migrants (sexual assaults in cologne),0.149,1/10/16 0:00
Crimes by migrants (sexual assaults in cologne),0.148,3/12/16 0:00
instablity in middle east, war on ISIS,0.158,3/7/16 0:00
instablity in middle east, war on ISIS,0.142,11/29/15 0:00
instablity in middle east, war on ISIS,0.157,11/27/15 0:00
instablity in middle east, war on ISIS,0.164,11/8/15 0:00
instablity in middle east, war on ISIS,0.152,5/29/15 0:00
instablity in middle east, war on ISIS,0.149,9/10/15 0:00
instablity in middle east, war on ISIS,0.156,12/28/14 0:00
instablity in middle east, war on ISIS,0.157,9/2/15 0:00
instablity in middle east, war on ISIS,0.146,10/14/14 0:00
instablity in middle east, war on ISIS,0.142,2/23/16 0:00
